tweet_text,cyberbullying_type
"@substitute it's.... well, it's not horrible. just boring.",cyberbullying
@Wi1dchild kay loser. today was so boring but at 8 it'll get better. hopefully. i'll text u why when i can be bothered to,cyberbullying
"@CappyD Man, I thought Chevaldayoff was a human paper weight...what a trade for the Jets. As good a deal as I've seen in years (decades?)...",cyberbullying
".@tarah @girlziplocked @hypatiadotca @justkelly_ok @ameliagreenhall when ur writing a book about WiT, it is prob not a good idea to do this.",cyberbullying
@girlziplocked @tarah @hypatiadotca @justkelly_ok @ameliagreenhall wowwwww this whole thread,cyberbullying
How can someone fuck up cous cous for fuck sake. I can make that shit with my eyes closed #mkr,cyberbullying
DO WE EVER GET FUCKING PENALTIES?!? FUCKKKKK ME. #CHEPAL,cyberbullying
My lovely boy #animal #all_shots #beautifulpictures #cat #chat #coon #chaton #catlover #catloversâ€¦ https://t.co/YGDqC1wiqL,cyberbullying
My hair is blue,cyberbullying
Presented without comment. http://t.co/9MWQFS8Css,cyberbullying
@kunikos yeah,cyberbullying
"like ""i'm feeling bored today, let's hop into this video game and threaten women with some rape""",cyberbullying
*cracks knuckles*,cyberbullying
@shannnesee Got! You always bully me. :&lt;,cyberbullying
"RT @thesledgetobias: @MT8_9 @amberhasalamb My god, so it truly is a projection.",cyberbullying
@krainboltgreene i believe in call-out culture against people that are known to be *deliberate* in their harm.,cyberbullying
"@0xabad1dea you are one of my favorite people, bby. Follower4ever",cyberbullying
RT @Spacekatgal: This is not just about serving you ads. @SwiftOnSecurity explains why this makes Lenovo users ridiculously vulnerable httpâ€¦,cyberbullying
@MadTrophyWife content warning. :),cyberbullying
@kettlekat I think most of the active members in this clan are people that saw the chats I've been posting on Twitter.,cyberbullying
@bryneaux ðŸ˜Š,cyberbullying
RT @a_man_in_black: Rumor: @freebsdgirl to helm Apple Car project,cyberbullying
"@_DaddyBooda ; Yo big I'm 3ft tall head ass , can't reach the pepper head ass , I use to get bullied in school head ass .",cyberbullying
"I'm disappointed by today, and I need to focus. I've got other things to work on. Taking a break from my public Twitter for a few days.",cyberbullying
Haaaaaaappy Birthdaaaaaaay bully @MackinxStackin :) !,cyberbullying
"Oh god. I was first. I have dibs. If I take this puppy, I'm going to feel like such an asshole.",cyberbullying
@PhysicsNerdYT @ChrisWarcraft not really funny.,cyberbullying
@Schofe you're a massive moron and it is shocking you are still allowed on tv.,cyberbullying
Dreamcast controller http://t.co/8yetaa3aDO,cyberbullying
@The_Ghrost I could.,cyberbullying
"i just WISH a Lion would burst into this office and then i tamed the Lion and then rode it, and everyone would cheer and stop bullying me.",cyberbullying
For fucks sake...,cyberbullying
@shawnacscott @/popehat,cyberbullying
I'm done - won't bother with the rest of this pathetic shit show #mkr,cyberbullying
@TransGeekMovie so looking forward to seeing your tweets!,cyberbullying
@ctayyy that's so fucking annoying smh. I wish you luck girlÃ°ÂŸÂ˜ÂªÃ°ÂŸÂ’Â–,cyberbullying
verified accounts have features that other accounts do not. not sure what kind of overhead increasing that # would have.,cyberbullying
"@vivian_games hey, if you toss me more info about that, i can pass it up the chain to enforcer type people. it would be appreciated.",cyberbullying
Omg why can't nobody answer the fucking phone!!!!!!!!,cyberbullying
"pssst. @jennofhardwire, if you're going to stalk my timeline when i have you blocked, it's closer to 14k followers. https://t.co/vxxTLycP0Z",cyberbullying
@chunniehsin karma for bullying @yingjiaaazxcxz hahahhhaha,cyberbullying
Jesus. The one thing that Starbucks &amp; people sending me threats have in common. They can never spell my first name.,cyberbullying
"@HardLuckRabbit @SwiftOnSecurity got a long list of commit logs, they'll tell you i'm insane",cyberbullying
@mitchpargeter bully + being my bitch = 37 followers oooooooh;) &lt;3,cyberbullying
@mattjbaldo I just did.,cyberbullying
@Badassperger no,cyberbullying
@Kethounet jesus that looks ugly,cyberbullying
@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard,cyberbullying
"Amazon has selection, decent prices, overall good customer experience. but their user interface has been a hot mess for forever.",cyberbullying
"In P5, worst case scenario is you get a bad item and they leave.",cyberbullying
Today I decided to be an idiot and ask my girlfriend to prom https://t.co/Zp70YYikVP,cyberbullying
"@twoscooters @Official_PAX @ShaofHappiness ugh, what did they do this year?",cyberbullying
@ArchivistGeek ðŸ˜˜,cyberbullying
"RT @MorvantCheryl: Investigator Says John Podesta Was Paid One @POTUS is not with Russia, Clinton &amp; This Idiot is getting pd. By Russia httÃ¢Â€Â¦",cyberbullying
@Kirtaner @DigiRanger1994 I'm not down with tactics like that. Especially since I'm launching a KS later.,cyberbullying
@AnnieKNK @BlutalTheDog @BeninCitizen @srhbutts @Cernowatch @a_man_in_black all this because I taunted him over his follower cnt back in sep,cyberbullying
@Azeeezah LMAO!!! Babes...you could never bully me...#justsaying...,cyberbullying
"phone # idea isn't perfect (it's easy enough to grab a phone # from GV), but it's an extra step - good deterrent for majority of abuse.",cyberbullying
@ashleylynch @femfreq does it matter?,cyberbullying
@TheCodySimpson u care sooo much for people who get bullied everyday like me plzz retweett,cyberbullying
RT @shadymumbai: Waiting for the Supreme Court to ban Idiots from 500 metres around you .,cyberbullying
"@AlanNRembosDDS  As a mom of daughters, I'm asking if U would call them 'sluts, sexretary or FemiNAZI'? Rush does &amp; you pay for it #stoprush",cyberbullying
ISIS message calls Trump 'foolish idiot' https://t.co/U3bw3D3YM7 #Politics #Trump #USA,cyberbullying
"@LabourEoin She is a bloody disgrace She is unfit 2 be primeminister,how the hell do this tory lot sleep at nite seÃ¢Â€Â¦ https://t.co/ipHEa5JDUo",cyberbullying
"While planning my entire life around getting home before dark, I absolutely have time to applaud men for not raping. #BlameOneNotAll",cyberbullying
@beardyblue possibly. :P did it go to my personal email or OAPI?,cyberbullying
my momma bear is a bully -.- ;D,cyberbullying
"Say what you want about MMOs, Blizzard knows how to work lore and tug at heartstrings. https://t.co/uCZGnYbiEg",cyberbullying
No doubt the best student section! #GirlsSports #PeepMattyMatt #Coon #IWentTooHardForAGirlsGame https://t.co/HOh3kDAEjs,cyberbullying
"Anybody else bothered that our president would rather make rape jokes, or talk about being cured of being gay, rather than make any kind of statement on how Filipino fishermen were rammed &amp; abandoned at sea by a Chinese ship?",gender
@beerandfeminism @Wyowanderer777 Which is?,gender
Men know sexism when they hear it. They appreciate it when they homeboy call them a dog but feel disrespected when they are called a bitch. Both mean dog but one specifies a female. Itâ€™s being compared to a female that is disrespectful because that is associated with being weak.,gender
"Hey, you can message @reptedyoho on Instagram and tell him how rude it is to call his female colleagues ""fucking bitch"".",gender
@Miikito_x3: Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy,gender
What the hell is this recurring weirdness @janicewidit I swear I'm not sexist but female chipotle employees can't roll burritos for shiizzzz,gender
RT @Mr_Fanta_Pants: RT:@jgray0711: Kat is the King Joffrey of #mkr http://t.co/mmhnVBrXJ1,gender
Can't call my female dog 'bitch' even if its what she literally is,gender
"LRT: ahahah oh wow, I'm REAL GLAD Nintendo decided to add in a hilarious combination date rape and gay conversion therapy joke in FE:if",gender
RT @HeyItsReecie Ok so i hav a girl replacin my battery its kinda strange......#NotSexist,gender
@Sargon_of_Akkad lol Not rape joke. Piccolo and Vegeta making sweet gay love,gender
@EqualityMen The motive doesn't lessen the outcome.,gender
RT @Midlifecrisis18: Her: * holding divorce papers *,gender
"people should not have to be afraid of being gay. people should not have to fear disownment, conversion therapy, corrective rape, and murder for their sexual orientation. they also shouldnâ€™t have to worry about tone deaf heteros whining about gay jokes on twitter, but here we are",gender
RT @Lizzethismetal: Probably gonna piss off some #feminists,gender
 pimps up pimps up hoes down  Future voice,gender
@RepTedYoho Hey dipshit do you feel like a BIG man when you call a female colleague a fucking bitch? Maybe your tighty whities are a little too right and scrawny little balls are all bunched up - if you have any that is #dipshit #asshole #chauvenistpig #RepublicanAsshole #resign,gender
RT @jessxlove i swear im not sexist but female tattoo artists bug me,gender
"I laugh at racist,rape, sexist, &amp; gay jokes especially RACIST jokes oh &amp; dirty ones too..lol",gender
WHAT A JOKE RAPE HAS BECOME BASED ON SENTENCES: â€œRape The Gay Awayâ€ Pastor Wonâ€™t Serve Time http://www.dailykos.com/story/2013/09/13/1238684/--Rape-The-Gay-Away-Pastor-Won-t-Serve-Time via @dailykos,gender
"RT @asredasmyhair: And what rights would those be? From what I can tell.. we have the same, if not MORE rights then men. #FemFreeFriday httâ€¦",gender
1) He started off talking about hating his mom and killing his wife and making gay and rape jokes. We not into any of that 2) His beat selection is ass. We not into any of that. 3) Lately the music has often been cringe. Ain't nobody [but stans] into that,gender
"#WaysToMakeMeMad Continuously joke about rape, genocide, gay rights, or any other type of human rights related topic as if it doesn't matter",gender
"RT @PoliticalCynic: @MT8_9 @PardusXY If they didn't need inflated rape statistics for money grabbing, they would be cheering at this:  httpâ€¦",gender
Prison gay rape jokes are not funny. Rape is rape.,gender
"Well, that's probably the last I can be bothered with #Cucumber etc over to Weekly Wipe...Can it do without prison gay rape jokes this time?",gender
"-TW- My aunt's boyfriend showed up to Thanksgiving dinner in a Trump 2020 shirt. He also made gay &amp; rape jokes with my ""grandfather"" at the dinner table. In front of me, my mother (the host), sisters, &amp; 7 year old baby brother. As if today isn't hard enough. Yay holidays.",gender
RT @Hector_newcomb: I am not sexist but changing making the next Thor female isn't something I'm okay with due to Thor almost always being â€¦,gender
Females got the audacity to call niggas ugly but all we got is hair cuts and a lineup yâ€™all beat ya face with makeup to be a whole different bitch,gender
Probably one of my favorite modern rappers who didn't call females bitches and about drugs 25/8 like that man really be having heavy messages in his music Ima miss him :/,gender
I hate when people make joke's about gay's and when they make rape joke's and think it's funny.,gender
@Sargon_of_Akkad @PAcomikz I think a better dress comparison would be: Feminist: dresses to impress. Feminazi: dresses to depress.,gender
Repost: Miley Cyrus shocks fans with date-rape 'joke' at GAY London http://bit.ly/1g2nSyd #celebrity #MileyCyrus #Pop,gender
"Can't blame you for the assumption though. My party has a surprising amount of people who think prison rape jokes, gay jokes, notMEEEEEEE-isms, un-examined racism and slut shaming is A OK!",gender
"First line: -""why boys crack up at rape jokes"" -implies that all boys find rape hilarious. No disagreement from you there, John? -""...think having a girlfriend is gay"" -implies that boys believe this, based on... what exactly? News to me. Do you agree that boys think this?",gender
RT @Jordan_Atkinson That woman reporter on Soccer Saturday hasn't got a clue #annoying #notsexist #thetruth,gender
"Yeah, sorry, too soon. That's a bit too sick to be a joke right now. Like making a joke about a rape survivor, a serial killer of innocent babies, or Adam Schiff's murdered gay lover (who took all the abuse Adam Schiff let build up inside him until it blew up like a nuclear bomb",gender
"@NurseLoco exactly! He was also making jokes about self harm, suicide, rape and said there's a special place in hell for gays... NOT OK!!!",gender
Kat is a sociopath #mkr,gender
.@thekevinryder BOY I SURE AM GLAD YOU RUN A SEXUAL ASSAULT CHARITY SO YOU CAN MAKE RAPE JOKES. I bet you have a lot of black/gay friends.,gender
"@PositivelyPage We may joke about a lot of stuff... Rape, sex, homophobes, gays, etc. but suicide..... That's a big no. Some RPs, man....",gender
RT @PoliticalCynic: Instead of doing something about the feminists who hate men I'm going to scream at you for pointing them out. #TweetLikâ€¦,gender
My kitchen rules or my vagina rules? #MKR http://t.co/CXXgcf1MHl,gender
"And yet if a woman should ""not mince words"" you'd call her a bitch if it didn't align with your opinion. I find him offensively bigoted. All Rah Rah America, as it fails a good portion of the population: the poor, the brown, the female, the LGBTQ, immigrants....#BeBest",gender
"I posted about a problematic drag queen that made a rape joke at Queer Junction in Sheffield &amp; the terrible customer service that followed by someone working for them who also maliciously misgendered me &amp; said that I â€˜shun the gay worldâ€™ - what a way to run a business, huh?",gender
"said the n word multiple times during her live stream, supposedly called wyatt gay when she tried to â€œinsultâ€ him, made rape jokes, then she said that weâ€™re mad because sheâ€™s dating our â€œcrushâ€ which is absolute bullshit lmao",gender
"RT @BlackMilk_69x: Gotta bad bitch and she can't keep her clothes on so I'm like bend over, stop and strike that pose https://t.co/zPKF3WFxÃ¢Â€Â¦",gender
Milo isnâ€™t libertarian. He did and interview with your golden boy nick and they both hate libertarians .Joe Rohan has a huge following and doesnâ€™t make rape jokes or talk about taking a womanâ€™s right away to vote. He also doesnâ€™t make fun of gay veterans.,gender
"RT @WRCorg: UCLA Women's Law Group Libels CHS, Then Tries to Hide it. #womenagainstfeminism http://t.co/NFqIgwK88y",gender
Says the guy that probably doesnâ€™t want to even visit his doctor because heâ€™s afraid that getting a prostate examination will make him gay. Rape. Jokes. Arenâ€™t. Funny.,gender
"Hey Bitch for your kind information We the worshipper didn't killed that Elephant. The killer was not worshipper they are Muslims so don't try to play your dirty boliwoodiya Game here. And one more thing ""Fuck you idiot"". #Elephant #humanityisdead",religion
"The question with abortion being right or wrong isnâ€™t about whoâ€™s side your on itâ€™s about who you serve. As a Christian woman, I serve the Creator. The giver of life and death. The one who says that my body is His temple and itâ€™s my responsibility to care and protect it.",religion
How could you possibly equate the industrial scale of gang raped children to a 15 year old muslim who exposed herself to Isis propaganda (HOW?) and chose to revoke her citizenship by joining the (failed) Islamic STATE? You must be a complete idiot or a psychopath...Perhaps both?,religion
"Then Terrorist of ISIS also Quote from Quran, that is also fine. Moron stop defending bigotry.",religion
Pauline Hanson ~Wants to kick out Asians and Muslims ~Denies coral bleaching by going to south end of GBR no problem ~Accepts donation from US Gun Lobby to weaken our Aus gun laws ~Force QLD Gov to open border during pandemic @smh Why are you giving this idiot a platform?,religion
Pakistan do jihad to serve humanity by sending proxy terrorist like kasab to Mumbai lol our Doctors are million time great than Pak jihadist,religion
It isn't anti muslim you idiot. The same law which existed since 2000 is applicable to every citizen of india. https://www.livelaw.in/news-updates/allahabad-hc-allows-recital-of-azan-by-muezzin-from-minarets-of-mosques-amid-lockdown-use-of-microphones-prohibited-read-judgment-156798 Read it. Educate yourself,religion
"Request you to plz go through all of my tweets. Plz donâ€™t act like RG. To summarise, law is n should b same of all n ppl violating same should b penalised irrespective of case race religion. Do u agree that Islamic terrorism is wrong n should nt b thr.",religion
List of Most Wanted Terrorists #Terrorists #Jihad #Islam,religion
"Today's front page of the New York Times. A full on assault on YouTubers. Story claims videos are ""radicalizing people"" on the right. Their evidence...the guy featured in the story started dating a Christian woman and supported traditional gender roles. oh no!!!!!!!!",religion
hey hun. so instead of just calling mads an idiot why donâ€™t you try to explain where the fuck your coming from. wanting to get revenge after so many people died is normal. never once did he say â€œi wanted to get back at muslimsâ€. i urge you to learn more about him. thank you!,religion
@DianH4 @rogue_allah There you go. You just showed why Islam is a vile and inhuman religion.,religion
"You're right you shouldn't. I'm ready to record biggoted attacks. Lots of Muslims, Sikhs, Hindus in my neighborhood and a very small majority of whites that feel that makes them ""dangerous"". I love being on the Sky train, such diversity. There's ignorant idiots around.",religion
"(First You're An Idiot, Then You're a Republican) Kris Kobach: Wizard of Crosscheck, Border Wall, Muslim Ban &amp; More... -",religion
"3/3 and a lot of things like, ""him saying X to Y *could* cause A or B bad thing to happen! The only thing they can solidly point to that he has done badly was the trade/tariff wars with China, and *maybe* the travel ban, which again was only a ""Muslim"" ban if you're an idiot.",religion
Whr is ur nautanki card madam?? Let's have this from u.. tell the world that u r ashamed of islamic terrorism..,religion
Not one of 56 Muslims countries are secular Mr. Owaisi you may be literate but no less than a idiot. We're Hindus we're naturally secular We gave refuge to Paigambar's family when some Muslims were after their life We gave land 4 1st Mosque outside Arabia @asadowaisi #Murkh,religion
You people picked up a small incident happened somewhere or may not be happened and create the propaganda in the name of Hindu Muslim and the irony is that many of the idiots do watch. Do some real journalism,religion
Your loss you idiot. Dominic did nothing compered with the Muslim community in my town for the month of Ramadan you would not have thought there was a lockdown. Nobody reportâ€™s about that happening in most towns do they.,religion
I swear some people who support Trump are legit brainwashed on the other side. No wonder they can convince Christian conservatives to kill Christians in the Middle East &amp; fund radical Islam. They sneak you &amp; you eat it up. Some of you are really that easy to manipulate.,religion
"U shud understand dat nobody wants 2 stay wit human killers lyk d Jihadist. Islamic Terrorism, Fulani herdsmen, almajiri system, girl child marriage, poverty n illiteracy has made Northern Nig so despicable dat wen d time 4 division comes even d middle belt n Yoruba will leave u",religion
"@Love___Egypt @washingtonpost Islam is a pile of hatred, murder, bigotry, sexism.  Islam is filth that has divided and destroyed mankind.",religion
"Terrorists has no religion and no humanity ...there are some people with evil mind and they should be punished...Islam says jihad with our evil deeds, which literally mean struggling orstriving specially with a praiseworthy aim.",religion
Muslim suicide bomber- You canâ€™t blame all Muslims BLM protesters loot shops- You canâ€™t blame BLM itâ€™s a tiny minority. Few Idiot Liverpool fans act like knobs- All Liverpool fans are scum always the victims #liverpoolfans,religion
I hate you. You are Muslim but you are wearing porn girl dress. Go to hell bloody idiot.,religion
"@anjemchoudary Your prophet was a rapist, murderer, pedophile, caravan robber, slave trader, bigot and sexist. God would never use the scum.",religion
"Please my good caucasian sir, tell me more about how being denied access to your summer home is a ""violation of your human rights"". I, a bi-racial pansexual Christian woman, will listen to your tail of injustice!!!",religion
@Kaya786 @fai3an_H In the Quran Islam declared war on all mankind 1400 years ago. It is time for humanity to return the favor.,religion
Shameful really....you are defending ordinary muslims oppressed in many countries and expose crimes against them and these UAE idiots consider that sympathy with Alqaeda...same narrative used by far right groups..,religion
That's why u didnt yet went therw still sitting here and probing others holy shit u didnt get opportunity because u r communal virus so u r thinking he will not get The Rasict and Radical Islamic terrorism,religion
"Hahahaha you idiot when I said Iraq is non Muslim country . I was talking about the particular group who don't have anything to do with Islam but disguise as Muslim and ,are being paid by America and Israel.",religion
"There you go telling other people what to do. Again. No wonder it hurts your feelings when the Muslims don't listen to you LOL. AND again you bore us with your idiot pointless whining. Who told you the blue masjid is empty and no one uses it? And so what? It's ours, suck it up",religion
Why do we act like Muslim men are animals or something? You can lower your gaze you idiot. You can take responsibility for how you interact with women. You can choose not to assault someone. Muslim men are not big babies or something these are grown men please have some shame,religion
LTTE was terrorist organisation no doubt about that. But u was comparing them Islamic terrorism. And donâ€™t just throw me a random article from random websites. Doesnâ€™t matter how hard u try. We all know the truth of death and destruction Islamics has brought upon this world.,religion
"If you be proud Muslim, you no go take offense in being called ""Alhaja""... Being called ""Alhaja"" na sign of Respect. But this woke idiots go make young gals feel otherwise. No matter how agbero take mad reach, if him see person wey wear hijab, e go talk to her with respect.",religion
@mcuban Dear Mark. YOU are an idiot!!! Saying President should â€œshut up â€œ. HE is President. He is honest with Americans!!! He should talk all he wants!! Unlike That Muslim communist Obama!!! Lying through his teeth all the time!!,religion
COVID19 is all right to kill us &amp; our children!!! This pro-life deal with Trump &amp; he his minions is about controlling people. What goes on between a woman &amp; her body is between her &amp; God nobody elseâ€™s. This is coming from a Christian woman! Trump clean up your house first,religion
You have no right to talk about protecting our elections. You lied and cheated in 2016 and then played the astonished woman stating how offended u were â€œas a Christian womanâ€ no wonder people think Christians are hypocrites!,religion
This is the radical Muslim humanity for you! These Jihadists yell #BlackLivesMatter in the west but rape boys of their opponents at home. Never trust a Muslim or a #Palestinian. Always fact-check what they say. They are master of fooling western idiots!,religion
"Hindutva politics in India. Even many of their associations have been raising money to support radical Hindu organizations to wage violence against religious minorities, including Muslims, Christians and Sikhs. #Kartarpur2Khalistan2020 @iamsunnydeol @BintEHawwa911",religion
"I got bullied for watching Pewdiepie in high school, so I now run the ""Wise Centrist"" YouTube channel and hammer my dick bloody to videos of the Kent State Gun Girl I eat exclusively red meat",age
"please sign @itsmelaurrmarie I was bullied&amp;the schools did nothing even when a girl threatened to kill me so thank u for spreading awareness Students:An in depth investigation on C. Milton Wright High School in Bel Air, MD - Sign the Petition! http://chng.it/fmCnQjgq via @Change",age
they are gonna get SO MUCH SHIT at school when the bully googles their names and finds loads of posts about how they pooed the bed back in 2017 or some other random parenting thing that should have kept to themselves!!,age
"Poisoned chalice.She won't be accepted down there. A school bully who will be totally out of her depth. Without media mythology, she's a substanceless husk. Her &amp; lady moanyface are same ilk. Plus once Scotland is independent her revenue stream will be cut! It'll be a paper title",age
"I specifically noted this issue is bigger than Mark Kern throwing out his nerd cred and saying his opinion is more important because of it. This is the same guy who bashed on a female celebrity because he was bullied IN HIGH SCHOOL by girls, and as such he says they aren't gamers",age
"My hair, that i was â€œstuck upâ€ because I was insecure and shy and quiet so it came across I guess that I was a bitch. I was bullied by a few different girls throughout middle school &amp; high school &amp; was told to just go in the bathroom &amp; cut deeper next time &amp; no one liked me.",age
. this isn't high school you cannot call people bullies and expect to be taken seriously,age
"â€œCall me school bully, you miserable little tick.â€ ^Simon",age
pleas i highly doubt anyone will see this but i got screenshots from a racist at my school and i need twitter to do its thing and bully him on instagram,age
OMG THIS BITCH i swear i might become a school bully wtf is this. I HATE HER OMGSJSJWHSJS (i summon my personal meme),age
i feel like we would be at the same table at school and we would bully key,age
girls who bullied u in high school love to make sure their RN name badge is in every one of their facebook profile pictures,age
I got the chance to stand up to a girl who bullied me in high school today and it felt AMAZING.,age
"Luca: Stand up to bullies &amp; make them accountable. Why should you keep changing schools when youâ€™ve done nothing wrong?Talk to teachers &amp; even to the bullies themselves if you can, in fact talk to anyone whoâ€™ll listen. Life is full of bullies &amp; only by exposing them will it stop.",age
"Nothing helps you CHANGE like hitting rock bottom. At 17, I was a skinny twerp still being bullied in high school. One day I tried to hit on a girl I liked. She declined politely, but her insecure meathead boyfriend overheard me. THREAD",age
id respect the girls that bullied me in middle and high school so much if they just said sorry,age
"Jenna apparently was bullied in high school and now feels the need to be the mean girl, along with Adam....#BelowDeckSailingYacht",age
She was apparently a bully at school aswell. Some never change.,age
Judge grants protective order to girl seen bullied &amp; assaulted on video at Montwood High School https://www.kvia.com/news/el-paso/judge-grants-protective-order-to-girl-seen-bullied-assaulted-on-video-at-montwood-high-school/1126304294 #SmartNew #bringit33,age
Wow!! Doesnâ€™t supprise me they would talk that way about someone. There like bullies in a school. All they do is lie lie lie. Show needs to be canceled.,age
Periodt iâ€™m really skinny bc of genes and my mom got bullied as a child and got called â€œskeletaâ€ which means skeleton girl in spanish.,age
"the weird flashbacks i had today from middle school and that just because i met one of my bullies yesterday, i was literally crying for a whole hour. i hate it here",age
i wonder if high school popular girls who bullied people know that or just lived in oblivion of their own actions and impacts?,age
In my school the PE teachers were mostly paedos or bullies.,age
Bullies in school are depressed now,age
"i can't believe taylor was bullied in high school, she legit looks like those popular girls that bullies the new kids",age
"I went to public school too, only had one girl ever try to bully me about it, and I fixed that problem at a party 2 days later",age
"GUYS SIGN THIS FR FRRRRR !! THESE GIRLS R SO FUCKING CRUEL, Seabreeze High School: Justice for African American Special Needs Student - Bullied by Savannah and Chelsea - Sign the Petition! http://chng.it/WPzN25Gn via @Change",age
"The Left seems to attract the worst kind of busy bodies and curtain twitchers, I think. And they are willing to go to any lengths to force you to think and act and believe as they do. They were the bullies back in grade school. Really cowards.",age
there was a girl in my high school who bullied someone so hard that they started doing coke but everybody think sheâ€™s a saint because sheâ€™s attractive and gay,age
"ATTENTION EVERYONE LOOK AT WHAT DIS DUMB BITCH JUST STARTED â€œ@tayyoung_: FUCK OBAMA, dumb ass niggerâ€",ethnicity
Can't you see dumb ugly fuck name wayne ugly black trash nigger name wayne off my pussy off my complexion pic.twitter.com/RNkqxuMeZt,ethnicity
"Was slavery a black eye on this country? Yes. Look at the history of the world. Injustice and oppression is present in every countryâ€™s past. America is the greatest country on earth, where anyone can be anything or do anything if they work hard enough.",ethnicity
Stupid dumb nigger I didn't even say shit about Cedric. I just found the tweet funny. Fuck outta my mentions @BasicallyIRunIt @YoungPlatinum,ethnicity
@X_Charnley @LSDmotlakas fuck that was funny :'). Ai I miss laughing at dumb shit with you niggers.,ethnicity
"On this day in 1904, Gaines Hall was lynched and body was riddled with bullets. He was accused of assaulting a white woman. The article called him ""Negro Brute"" and ""the Southern home will be protected at all hazard."" Follow me @SankofaTravelHr",ethnicity
@JRizzlyKidd: N is for niggers bitch fuck the world!lmfao oh my fucking god dude you fucking dumb as bitch,ethnicity
"Two monsters * Tim u fucking Dumb nigger h cant even spell what the fuck is wrong with u,u fucking coon gorilla monkey ass hole shit waffle.",ethnicity
#ThingsWhitePeopleSay fuck that dumb nigger,ethnicity
"Colonial newspapers contributed to the perpetuation of slavery. Advertised 250 years ago today: ""RUN away, a NEGRO MAN named BILLY ... generally called White hand Billy, from a burn on his hand."" (South-Carolina &amp; American General Gazette 4/20/1770)",ethnicity
